Titre,Statut,Assigné à,Progression,Catégorie,Domaine,Priorité,Notes
🖼️ Photo de profil,✅ Fait,,100,🧑‍🏫 Espace prof,🔀 Full-stack,,"Sur User (identité partagée), photo prof publique. Traitée par sharp (redim/WebP/EXIF retiré). Photo côté élève : plus tard"
📝 Comptes rendus de cours,✅ Fait,,100,🧑‍🏫 Espace prof,🔀 Full-stack,,"Écrit par le prof, lisible par l'élève, accroché au Booking. Éditeur riche (TipTap, HTML assaini côté serveur), texte en lecture/édition (bouton Modifier), pièces jointes groupées par type (images/audio/partitions) + notes audio (lecteur sur mesure), visionneuse d'images, pliage/dépliage animé, accès direct depuis l'agenda"
🗂️ Fiches élèves (façon fiche client),✅ Fait,,100,🧑‍🏫 Espace prof,🔀 Full-stack,,"Profil, historique, comptes rendus, messages, note privée — en onglets. Filtres (recherche, instrument, dates). Rédaction/édition des comptes rendus depuis la fiche"
💬 Messagerie prof ↔ élève,✅ Fait,,100,🧑‍🏫 Espace prof,🔀 Full-stack,,"Asynchrone : commentaires par compte rendu + fil général, notif e-mail, horodatage. Pièces jointes + notes audio dans les fils, via le stockage"
⭐ Avis reçus + droit de réponse,✅ Fait,,100,🧑‍🏫 Espace prof,🔀 Full-stack,,"+ signalement"
💳 Abonnement Stripe,✅ Fait,,100,🧑‍🏫 Espace prof,🔀 Full-stack,,"Checkout, portail, visibilité dérivée de l'abonnement"
📈 Suivi d'activité (revenus),✅ Fait,,100,🧑‍🏫 Espace prof,🔀 Full-stack,,"Période, filtres, graphe, par instrument/élève, journal, export CSV"
📊 Stats sur le tableau de bord,✅ Fait,,100,🧑‍🏫 Espace prof,🔀 Full-stack,,"Demandes, cours à venir/donnés, CA estimé"
🎓 Mes cours (élève),✅ Fait,,100,🎒 Espace élève,🔀 Full-stack,,"Demandes, à venir, historique, annulation"
🧑‍🎓 Mon profil élève,✅ Fait,,100,🎒 Espace élève,🔀 Full-stack,,"Niveau, objectifs, responsable si mineur"
✍️ Dépôt d'avis,✅ Fait,,100,🎒 Espace élève,🔀 Full-stack,,"Après un cours clôturé"
📁 Dossier partagé (côté élève),✅ Fait,,100,🎒 Espace élève,🔀 Full-stack,,"Pendant de la fiche élève : cours, comptes rendus, échanges. Note privée du prof exclue. En onglets + filtres"
🔔 Signal in-app (élève),✅ Fait,,100,🎒 Espace élève,🔀 Full-stack,,"Pastille « Mes cours » quand le prof tranche une demande (confirmé / refusé / annulé), vidée à la consultation"
🕐 Demi-heures + repère « maintenant »,✅ Fait,,100,📅 Agenda,🎨 Front,,
🧱 Blocs de cours enrichis,✅ Fait,,100,📅 Agenda,🎨 Front,,"Barre de statut, mode, heure, survol"
↔️ Bascule jour / semaine,✅ Fait,,100,📅 Agenda,🔀 Full-stack,,
📅 Vue mois,✅ Fait,,100,📅 Agenda,🔀 Full-stack,,"Aperçu calendrier, lecture seule"
✋ Glisser-déposer (reprogrammation),✅ Fait,,100,📅 Agenda,🔀 Full-stack,,"Re-validation dispo + chevauchement, élève prévenu"
🔗 Avis rattachés à une réservation,✅ Fait,,100,🛡️ Modération,⚙️ Back,,"Impossible à fabriquer, moyennes dérivées"
🛡️ Modération a posteriori (/admin/avis),✅ Fait,,100,🛡️ Modération,🔀 Full-stack,,"Masquer / restaurer"
🚩 Signalements,✅ Fait,,100,🛡️ Modération,🔀 Full-stack,,"Le prof signale, la modération tranche"
✉️ E-mails de réservation,✅ Fait,,100,🔔 Notifications,⚙️ Back,,"Demande / confirmation / refus / annulation / avis / cours déplacé"
⏰ Rappels 24 h (endpoint),✅ Fait,,100,🔔 Notifications,⚙️ Back,,"Table de réclamation + reprise sur échec"
🎵 Favicon sur mesure,✅ Fait,,100,🖌️ Design,🎭 Design,,"Croche blanche sur tuile bleue"
🏛️ Refonte « Bleu conservatoire »,✅ Fait,,100,🖌️ Design,🎭 Design,,"Bleu de Prusse / crème chaude / or antique, logo sceau, médaillon animé, page d'accueil refondue. Via les jetons (remplace « ReChord » épicéa/bronze). Charte : CHARTE-GRAPHIQUE.md"
🔤 Polices Inter + Cormorant,✅ Fait,,100,🖌️ Design,🎭 Design,,"Corps Inter, titres Cormorant (serif haute-classe à fort contraste)"
📐 Système de mise en page éditorial,✅ Fait,,100,🖌️ Design,🎭 Design,,"Filets, titres démesurés, plus de grilles de cartes"
🧭 Barre latérale unique,✅ Fait,,100,🖌️ Design,🎨 Front,,"Tout l'espace connecté (prof / élève / admin) : marque, navigation, compte cliquable. Nav mobile en tiroir burger (Radix Dialog : focus piégé, Échap, verrou de défilement), item sélectionné en doré"
✍️ Signature calligraphique des avis,✅ Fait,,100,🖌️ Design,🎨 Front,,"Prénom de l'élève à la plume (Pinyon Script) sur les avis publics"
🔔 Retours d'action en toasts,✅ Fait,,100,🖌️ Design,🎨 Front,,"Succès + échecs (réessai / reconnexion) : cycle de vie des cours, comptes rendus, avis, formulaires, agenda"
🏷️ Zones nommées sur l'agenda,✅ Fait,,100,📅 Agenda,🎨 Front,,"« Congé » sur la hachure, « Fermé » sur les plages fermées (partielles comme entières), en plus de la légende"
💬 Boîte de réception agrégée,✅ Fait,,100,💬 Messagerie,🔀 Full-stack,,"Tous les fils prof↔élève au même endroit (/dashboard/messages), aperçu, tri par récence, des deux côtés. Non-lus par conversation + pastille « Messages » dans la barre (compté en SQL indexé)"
⚡ Perf tableau de bord,✅ Fait,,100,🛠️ Infra,⚙️ Back,,"Compteur de messages non lus en SQL indexé (au lieu de rapatrier les messages), compteurs de la barre parallélisés"
📱 Correctifs mobile ciblés,✅ Fait,,100,🛠️ Infra,🎨 Front,,"Zone de saisie des messages pleine largeur, pièces jointes audio qui ne débordent plus"
🧩 Migration middleware → proxy,✅ Fait,,100,🛠️ Infra,☁️ Infra,,"Next 16"
⚙️ Client Prisma en postinstall,✅ Fait,,100,🛠️ Infra,☁️ Infra,,"Build Vercel"
🔧 Correctifs auth en prod,✅ Fait,,100,🛠️ Infra,☁️ Infra,,"Cookie __Secure-, client relatif à l'origine, redirection"
🚫 Retrait de la connexion Google,✅ Fait,,100,🛠️ Infra,🔀 Full-stack,,"E-mail + mot de passe seulement pour l'instant"
🏷️ Renommage Noteva → SiNote,✅ Fait,,100,🖌️ Design,🧭 Produit,,"Marque + nom du projet"
📧 Vérifier un domaine e-mail,🔜 À faire,,0,🔔 Notifications,☁️ Infra,🔴 Haute,"Sinon les e-mails ne partent qu'à l'adresse du compte en prod ; envisager un émetteur FR (Scaleway TEM, Brevo)"
⏱️ Planifier le cron des rappels,🔜 À faire,,0,🔔 Notifications,☁️ Infra,🔴 Haute,"Vercel Cron ou GitHub Action — l'endpoint existe déjà"
👑 Administration (page utilisateurs + isAdmin),✅ Fait,,100,🛡️ Modération,🔀 Full-stack,,"Page /admin/utilisateurs (rôle, infos, gestion d'accès prof sans Stripe). Admin en capacité (User.isAdmin, orthogonale au rôle). Promotion manuelle en base, premier admin promu"
🇫🇷 Conformité RGPD,🔜 À faire,,0,🏗️ Fondations,🧭 Produit,🔴 Haute,"Outils hébergés en France/UE (Scaleway fr-par déjà en place) ; consentement du responsable pour les mineurs (photo, audio, fiches) ; politique de conservation et de suppression"
🎯 Régler le ressenti du glisser-déposer,🔜 À faire,,0,📅 Agenda,🎨 Front,🟠 Moyenne,"Aimantation, fantôme, détection de colonne (après tests visuels)"
🧾 Version élève du suivi d'activité,🔜 À faire,,0,🎒 Espace élève,🔀 Full-stack,🟠 Moyenne,"Cours à venir / suivis / budget"
📱 Audit visuel mobile,🔜 À faire,,0,🖌️ Design,🎨 Front,🟠 Moyenne,"Navigateur ou test terrain : agenda, inbox, formulaires — au-delà des correctifs déjà passés depuis la revue de code"
💬 Fils de comptes rendus dans l'inbox,🔜 À faire,,0,💬 Messagerie,🔀 Full-stack,🟢 Basse,"Agréger aussi les commentaires de comptes rendus (aujourd'hui seuls les fils généraux y figurent)"
🆚 Comparaison de périodes (Activité),💡 Plus tard,,0,🧑‍🏫 Espace prof,🔀 Full-stack,🟢 Basse,"Ce mois vs mois précédent, variation en %"
🖼️ Photo de profil côté élève,💡 Plus tard,,0,🎒 Espace élève,🔀 Full-stack,🟢 Basse,"Consentement du responsable si mineur, jamais indexée"
↕️ Redimensionner un cours au drag,💡 Plus tard,,0,📅 Agenda,🔀 Full-stack,🟢 Basse,"+ glisser aussi les demandes en attente"
🟦 Indices de disponibilité en vue mois,💡 Plus tard,,0,📅 Agenda,🎨 Front,🟢 Basse,"Jours ouverts, petit aperçu horaire"
📝 Journal d'audit de la modération,💡 Plus tard,,0,🛡️ Modération,⚙️ Back,🟢 Basse,"Qui a masqué / pourquoi"
🚩 Signalement d'avis côté élève,💡 Plus tard,,0,🛡️ Modération,🔀 Full-stack,🟢 Basse,
🌐 Pages d'atterrissage instrument / ville,💡 Plus tard,,0,🌍 Public,🔀 Full-stack,🟢 Basse,"SEO"
🌳 Hiérarchie d'instruments,💡 Plus tard,,0,🌍 Public,⚙️ Back,🟢 Basse,"« guitare » couvre « guitare électrique »"
🧰 Exploiter les champs déjà stockés,💡 Plus tard,,0,🎒 Espace élève,🔀 Full-stack,🟢 Basse,"preferredGenres, prefersOnline, postalCode"
⚖️ Réglage du classement (PRIOR_WEIGHT),💡 Plus tard,,0,🌍 Public,⚙️ Back,🟢 Basse,
🌙 Thème sombre,💡 Plus tard,,0,🖌️ Design,🎭 Design,🟢 Basse,"Aujourd'hui clair uniquement, par choix"
